Comment,Designator,Footprint
GRM155R60J105ME19D,C2,GRM155R60J105ME19D
CC0402MRX5R5BB106,C3,CC0402MRX5R5BB106
GRM155R60J105ME19D,C4,GRM155R60J105ME19D
CC0402MRX5R5BB106,C6,CC0402MRX5R5BB106
GRM155R60J105ME19D,C9,GRM155R60J105ME19D
CC0402MRX5R5BB106,C10,CC0402MRX5R5BB106
MCP73831T-2ACI/OT,CH,MCP73831T-2ACI/OT
17-21SURC/S530-A2/TR8,CHG,17-21SURC/S530-A2/TR8
LMBR120FT1G,D1,LMBR120FT1G
S2B-PH-SM4-TB(LF)(SN),J1,S2B-PH-SM4-TB(LF)(SN)
S2B-PH-SM4-TB(LF)(SN),J2,S2B-PH-SM4-TB(LF)(SN)
A1251WR-4P,J4,A1251WR-4P
FC-2012GHK-570A08,LED1,FC-2012GHK-570A08
17-21SURC/S530-A2/TR8,LED2,17-21SURC/S530-A2/TR8
ATMEGA328P-AU,MC1,ATMEGA328P-AU
"BSH103,215",NPN,"BSH103,215"
RC0402FR-0710KL,R1,RC0402FR-0710KL
RC-02W2400FT,R2,RC-02W2400FT
RC-02W2400FT,R3,RC-02W2400FT
RC0402JR-071KL,R4,RC0402JR-071KL
RC0402FR-0710KL,R5,RC0402FR-0710KL
RC0805JR-07100KL,R6,RC0805JR-07100KL
RC-02W2400FT,R7,RC-02W2400FT
SPX3819M5-L-3-3/TR,RE,SPX3819M5-L-3-3/TR
473521001,SD,473521001